database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				Unknown	102.0779047				366.231			BiotreeDB									3846151.852	3745544.676	3473405.243	4114573.081	3825558.06	3857398.28	3275409.507	3743731.956	3674908.807	4041589.243	3881459.645	4256817.822	3545088.278	3831579.821	4655957.722	4183214.95	4114022.163	3787038.318	3938153.977
				Unknown	159.1210388				366.228			BiotreeDB									989191.7901	910011.2747	857822.0033	935108.6275	1385144.409	869098.1831	846724.9403	1023622.695	942751.2432	890684.3631	952790.2043	993984.1357	909877.0786	1017554.027	1045681.774	1024255.994	948456.9567	665717.8005	905466.0082
				Unknown	88.07624854				366.2235			BiotreeDB									177123.1365	157756.2139	201690.1413	144056.9155	152156.9122	110611.0561	140377.1367	226162.0402	134068.6073	213313.47	134348.1462	86156.29504	198924.6151	207204.8343	209872.6506	162379.029	173950.4929	156946.8439	181835.4092
				Unknown	325.212238				366.169			BiotreeDB									127124.2572	112091.7006	167222.0427	172679.4507	158889.4333	90891.514	178373.4855	111102.3203	209063.702	123229.5057	180048.6199	182840.2563	138331.6563	175499.072	171218.5319	151754.9689	169729.7687	167899.1991	167227.4356
				Unknown	276.1445483				365.973			BiotreeDB									109190.7145	181261.0823	181218.3551	159934.0073	136954.4399	170697.1473	100447.5841	94180.27033	96546.38662	181418.9925	96207.49119	107018.2907	115429.4046	168607.4936	135554.3662	83501.23622	97722.37999	148596.0055	74404.9531
				Unknown	236.945224				365.705			BiotreeDB									5849195.626	6346865.123	5703340.632	6428620.224	5770170.826	5773642.209	5492831.756	6670148.176	6491322.836	5922311.564	5999863.678	6721126.228	5378891.29	6104669.966	7292219.682	6216451.937	6257183.197	5976604.396	5576077.259
				Unknown	448.2050362				365.6405			BiotreeDB									3442673.89	3462137.817	3495886.306	3721285.898	3362954.333	3038351.432	3047822.923	3581541.328	3393620.438	3132500.472	3599795.853	3664849.393	3204212.384	3316840.708	3998462.669	3848910.6	3419914.038	3218227.688	3394901.615
				Unknown	245.1865716				365.401			BiotreeDB									1871619.104	1789584.73	1847483.028	2045048.387	1947953.96	1816265.963	1683658.372	2020511.155	2085586.508	1876275.78	1812092.88	2184983.142	2604977.908	1843450.273	2250269.82	2018294.978	2502735.868	1875001.73	2102037.662
				Unknown	461.2426799				365.3115			BiotreeDB									16713588.69	16719862.72	15282805.29	16881741.53	16549267.08	15657152.87	14871249.84	17060686.18	16379368.19	16248583.31	16068946.86	16973762.25	15218383.96	15889777.88	18498426.97	17681474.06	16198933.44	15656249.27	16171610.11
				Unknown	301.1760616				365.2925			BiotreeDB									576442.6357	703916.9188	708386.1616	648888.7958	594726.066	832029.5294	665196.092	840436.5114	770126.9368	589514.2755	815473.8005	699993.0034	701259.9899	587215.5437	863690.1596	636669.9235	657064.5294	892080.715	688493.9479
				Unknown	244.1910948				365.291			BiotreeDB									776528.0569	1016657.262	794916.9134	1040708.474	937082.7674	1009726.909	861762.2044	1007836.495	932356.0559	707558.0108	1181986.497	1059802.73	973241.0639	1000060.762	866583.6958	1045018.902	997597.9708	866202.6555	660113.634
				Unknown	257.150219				365.2815			BiotreeDB									843700.1525	937297.5531	747592.9776	771735.2436	798210.2729	815670.8582	688887.3525	950432.4471	915822.0869	793262.3738	956073.9389	827436.1411	775345.88	811082.232	685554.5101	730517.8288	807713.4105	488933.3677	693799.2897
				Unknown	144.1020304				365.272			BiotreeDB									1476859.699	1447728.529	1345377.679	1595100.714	1497860.401	1274424.784	1400751.354	1554055.214	1372019.227	1546972.221	1556581.105	1442046.711	1298147.481	1383197.778	1663352.303	1593678.452	1422442.885	1393722.863	1514219.479
				Unknown	637.3568245				365.261			BiotreeDB									403769.3305	468071.593	547216.4362	574188.4099	542963.4339	447269.2486	440419.0013	401235.0867	476729.1129	564787.5283	615909.3985	503055.032	508444.9475	492500.9895	586749.4265	442813.9549	380545.1979	619594.4519	470472.9298
				Unknown	339.1556782				365.251			BiotreeDB									313431.221	333521.6728	298582.2789	400325.0687	300950.542	250838.9505	253431.131	227411.3088	302774.6372	327970.1267	352066.1331	311392.872	298359.0778	320889.6507	378202.0123	384072.3818	248624.2957	244211.967	225480.3493
				Unknown	599.4025885				365.2415			BiotreeDB									157142.1973	198868.1841	176843.1873	183870.0906	143010.495	117732.7173	112143.6901	170632.5904	202538.6381	143686.1546	180014.5366	147747.1418	95978.57683	160480.2643	131419.5306	124124.7713	117436.008	132907.8029	161544.783
				Unknown	621.3838271				365.2415			BiotreeDB									183581.6201	130073.9479	224072.5874	245082.2426	194618.3625	205768.7238	161002.4639	201066.2945	161916.3154	120912.776	250784.8356	263489.6254	148257.4099	209267.3652	211424.4227	199608.8608	185090.035	186362.7766	137563.8168
				Unknown	221.021171				365.193			BiotreeDB									418560.6312	515118.7435	516483.0538	623904.6792	416558.4422	448286.58	536794.6443	492391.1684	493011.1883	555416.0009	586274.9413	692074.7641	404065.5467	538787.4758	655695.4976	663370.6798	579613.8934	574920.1837	463345.6307
				Unknown	273.1448198				365.0915			BiotreeDB									15121109.41	15589367.63	15035036.99	16399334.53	15176595.08	15262198.4	16651382.73	15932999.39	16074221.68	15734678.44	15069244.58	16768578.5	15133358.52	15922185.33	18464547.03	16958594.57	16594760.86	15598712.25	15542631.49
				Unknown	308.1858511				364.992			BiotreeDB									2057144.237	2715479.583	1882443.94	1986199.907	1860798.233	1749919.776	1633403.04	2003829.965	2030701.667	1870905	1982817.109	2152238.232	1808018.31	2028454.013	2206607.713	1861778.771	2029299.059	2684124.304	1910482.585
				Unknown	127.0617125				364.99			BiotreeDB									0	0	81294.10822	0	0	0	0	67596.24815	387191.5569	221065.7914	209110.8609	75771.03012	484438.8679	488495.3099	113710.4389	122748.7734	199737.8648	123238.8285	52725.4453
				Unknown	270.1340833				364.406			BiotreeDB									3931019.258	4083670.052	3412246.219	4066761.405	3488456.085	3773028.445	2901350.168	3620644.809	3731395.357	4092168.333	3816277.882	3862109.683	3630316.13	6214753.717	6506668.624	5525237.859	3559901.013	3280993.417	3240627.324
				Unknown	274.1656311				364.3765			BiotreeDB									261742.6733	337107.8854	181959.9967	356124.3989	342740.8626	245950.7293	258900.8974	325319.9431	132930.1878	297628.9815	257922.5506	316174.5131	286396.6443	259541.8396	371509.7845	326712.2522	183703.2212	340070.2385	275545.7985
				Unknown	131.3053098				364.373			BiotreeDB									210586.6914	272362.7642	258346.6226	277733.6672	178945.8903	237682.8198	198992.2879	233621.3191	288060.0265	205919.3373	273572.4138	306047.0597	135255.5368	292158.5013	293368.748	171167.2485	331491.5452	182319.9418	227836.909
				Unknown	224.1284879				364.373			BiotreeDB									356556.3174	390536.7881	343379.4576	538411.3127	468636.3456	436124.2738	330524.935	442429.795	357408.8565	354427.801	413039.0386	485577.053	562671.6422	463680.4872	469783.0938	468164.2989	431039.3701	510648.9142	414516.2022
				Unknown	114.0666472				364.372			BiotreeDB									21918300.17	22193279.7	20719057.23	22880799.32	21119699.68	20803356.36	29042252.57	22500593.76	21678215.1	21641426.99	21551489.3	22935881.45	27711912.84	21120458.89	35061546.07	23644395.49	21661500.46	21928398.91	21153822.37
				Unknown	170.0327963				364.371			BiotreeDB									149153.9345	243729.8368	196550.1273	273767.7617	219890.8909	273982.5449	261629.8355	263341.3279	270417.468	201837.1099	138207.982	242275.2382	84584.12903	157824.1683	335262.1451	243367.8587	191987.3813	210465.4535	180256.6379
				Unknown	203.1028268				364.371			BiotreeDB									1412075.679	1376789.041	1374729.358	1357829.063	1164588.125	1154681.502	1136466.792	1472074.94	1364114.278	1538257.417	1544906.885	1429266.188	1171814.473	1333892.247	1465018.715	1311894.456	1358151.117	1227688.102	1296577.265
				Unknown	444.2964761				364.371			BiotreeDB									3117201.473	3527698.958	2908259.152	3133494.204	3206763.866	2995823.081	2665467.619	3621355.063	3052934.366	3011392.866	3153819.216	2835465.523	3195407.233	2835120.031	3701608.561	3744225.173	3315085.777	2839134.905	2812667.996
				Unknown	387.2492825				364.37			BiotreeDB									277806.0369	168810.4487	258589.6089	231891.2452	230593.993	261860.3912	227056.276	321333.3775	271177.456	237117.2491	349793.7942	333362.6058	148021.2454	212677.9178	381133.6208	390701.8609	352121.1042	221528.3263	190488.2875
				Unknown	336.1673359				364.3625			BiotreeDB									1152085.537	828849.8783	907839.409	1093821.6	1066717.142	1543292.266	469640.5355	2630346.004	1182271.086	1453862.366	2611787.314	507915.3427	1334585.416	2500966.427	1238808	1074031.541	1066742.831	1046377.51	964237.1049
				Unknown	103.0507579				364.335			BiotreeDB									542359.28	506441.5581	443168.9079	460429.4782	555467.6576	528161.4523	323300.5638	541315.4226	425493.5999	577381.8697	611038.5566	566721.4558	468069.2059	377651.8687	637647.0166	565975.3076	393968.6616	549040.745	558422.358
				Unknown	346.1295688				364.335			BiotreeDB									4822029.084	5294809.306	5065573.924	4836789.436	4212471.316	4694755.356	4579042.062	5318810.196	4777956.191	4701391.84	5527475.905	5058308.286	4597608.888	4836076.154	5630496.555	5438431.719	4900862.872	4981264.96	4503985.91
				Unknown	160.0719189				364.2555			BiotreeDB									525661.8977	423589.4904	376974.8152	413699.0558	483552.4048	509643.954	497272.0875	503835.9603	655795.0055	605790.2052	633661.788	470124.273	432751.1433	593065.2332	493084.2557	602430.5506	424553.1063	513966.6117	532700.9503
				Unknown	262.1655128				364.216			BiotreeDB									2873573.888	2677087.447	2821775.42	2742428.158	2729445.563	2795116.986	2968343.136	2947368.898	2942282.817	2248802.602	2657287.716	2706776.937	2465884.241	3074038.143	3047438.512	2927290.964	2758047.404	2655484.949	2516794.962
				Unknown	96.04498206				364.208			BiotreeDB									3477031.712	3690938.825	3756414.021	3771338.78	3655911.936	3677661.858	3153876.611	3446734.898	4035703.778	3605451.524	3764326.782	3982833.993	3550431.948	3909981.062	4495417.903	4359750.81	3782222.248	3898059.13	3692974.687
				Unknown	126.1028261				364.116			BiotreeDB									345120.1558	199678.8739	295354.6325	221301.4249	171306.7971	274528.0467	234263.6009	364762.4012	218521.84	152247.5855	195759.7958	274064.156	464399.9753	349923.6647	180303.9232	261258.5371	202744.8223	213945.9382	189708.4942
				Unknown	367.0580994				363.8865			BiotreeDB									325923.1955	208799.2736	318719.0584	309360.8009	204733.7725	281677.397	256588.1088	283747.8431	300152.4955	342883.8515	178098.5012	255569.9158	327687.9999	406374.2288	308659.4541	336751.3059	337364.1509	290424.351	343085.9804
				Unknown	184.1446115				363.494			BiotreeDB									2308635.456	1753540.161	1942586.498	2391370.514	1707738.538	2260573.408	2209230.748	2374268.431	2514323.517	2439048.952	2173840.961	2748241.227	1530965.36	2071348.846	2625725.255	1631539.661	1443375.193	1945489.411	2154949.325
				Unknown	167.1183872				363.493			BiotreeDB									738093.024	988487.3765	457807.2617	885927.5309	621323.9676	748760.3384	573896.7607	746597.6121	1112228.793	814651.2117	815252.8478	1003401.155	640007.5207	772633.6528	422723.1052	1034184.474	1208628.66	357621.0578	901871.9898
				Unknown	246.1337086				363.48			BiotreeDB									567716.3083	658752.1876	516704.4651	353822.006	475215.6998	500755.9574	589116.095	605543.1883	522526.1497	249412.4771	528159.8208	325037.1937	390337.2109	559607.1678	518049.8264	619305.7187	410449.3757	396929.0875	509792.755
				Unknown	91.05885771				363.458			BiotreeDB									1315083.82	1134640.928	1087429.081	1232170.419	1145649.038	1124164.66	1306758.226	1109643.759	1176800.8	1108644.941	1127767.455	1048160.378	1183794.852	1212551.296	1185773.755	1344355.212	1099692.165	982575.2657	1284960.201
				Unknown	185.1287291				363.446			BiotreeDB									896334.0934	1074385.697	992164.0104	1002547.147	819490.0788	983626.0959	768043.8934	922265.5714	1027424.836	1054257.035	1008673.99	935250.7526	955237.8396	1143364.27	1386956.987	1150871.395	1015421.096	1041138.183	1023936.035
				Unknown	254.1393381				363.431			BiotreeDB									528062.3852	569614.7218	184563.9273	604630.5947	444671.6485	563588.5323	295980.3534	581366.1048	596289.5074	475574.7894	689906.0711	485419.3309	251612.9308	571719.9238	299599.3111	662345.4285	775953.8071	435334.2525	560662.0909
				Unknown	90.05552234				363.404			BiotreeDB									910584.3337	919315.4603	854747.4469	949772.205	1024378.791	918788.9017	911994.5833	855919.9623	982262.7906	841344.6132	1039408.408	1052227.121	864262.4899	1164066.639	1041138.067	869167.4479	944737.0603	788318.4529	1106540.918
				Unknown	159.0767431				362.8			BiotreeDB									4272111.117	4065734.977	3625525.7	2959656.84	4160802.583	2303370.315	1208331.393	12389577.34	20197912.93	16105872.23	15295653.59	5911818.418	20008794.07	19447290.24	8798935.528	8484186.297	8210171.1	8728596.768	8010215.766
				Unknown	173.092541				362.564			BiotreeDB									16113767.06	26741837.79	14762692.59	16093692.94	14652149.49	14638599.75	24967460.75	15557677.42	14761687.8	15946159.71	25832329.36	15696261.86	25434149.01	16176028.34	16444179.28	15406132.75	15721785.28	16263116.56	15309978.37
				Unknown	261.1281547				362.558			BiotreeDB									737499.9824	562706.8992	783918.9882	558982.9887	461293.1776	437750.7722	616611.4607	499390.545	457877.1585	538150.8917	543983.4488	507603.8983	361442.6718	504877.0002	645475.4083	552418.1726	331507.8036	698302.5239	299066.175
				Unknown	385.1759198				362.5215			BiotreeDB									886485.7157	957109.4657	704153.4481	833607.7803	975830.5199	740711.0291	731839.0604	851598.8292	835026.1988	723040.7864	810115.9973	914148.1999	982035.9997	832440.474	716907.7435	1013517.738	827762.1834	827870.708	1082062.816
				Unknown	131.0817773				362.4335			BiotreeDB									384398.8577	232278.5697	354096.5032	307605.358	612839.1925	468951.7665	300484.6716	188310.8659	291675.9326	343975.7312	163754.8012	480912.4889	485972.8007	309207.902	497927.2096	245331.0487	553658.7783	193659.8071	373353.0665
				Unknown	252.1712897				362.314			BiotreeDB									497615.7047	531103.5943	568268.1518	789291.5904	715365.9194	431458.609	688584.6643	615211.0464	773452.5399	472625.3895	531564.1477	734302.6963	459303.201	495204.6008	834878.4152	606571.3266	578081.6957	576414.6581	557149.7895
				Unknown	153.0660594				361.9595			BiotreeDB									3794586.221	3874635.213	3800390.584	4099015.803	4395088.477	3508949.435	6804221.435	4811205.228	3968967.106	4393482.326	3991412.327	3807569.61	3312564.078	3889869.129	4947551.083	4628631.174	4229180.556	4468807.637	3834249.611
				Unknown	205.0974097				361.662			BiotreeDB									4158567.444	4388617.875	4127572.212	4354401.381	4002674.469	4101492.287	5697081.445	7058394.015	4384670.004	3974444.917	4639222.886	4491065.164	3519496.705	4835489.452	5201560.235	4655919.991	4498928.854	3905202.427	6086218.165
				Unknown	74.09705777				361.659			BiotreeDB									2846547.846	2039018.353	4369267.592	3512473.817	2270267.396	3958471.106	3504048.135	2811781.124	3792418.138	2654595.137	2293553.805	2211266.469	2682250.57	2953722.989	3438054.265	3033233.14	2573457.879	2443312.38	3575383.475
				Unknown	227.1393227				361.607			BiotreeDB									1264467.395	1439497.156	2000900.12	2482629.949	1582105.626	1716214.271	1750441.338	1473633.322	1530379.531	1475920.097	1139957.203	1965970.747	1909953.227	1372023.633	1677207.97	1916710.891	1587047.544	1931155.233	1146695.272
				Unknown	217.1548927				361.5495			BiotreeDB									3373429.802	3238939.093	3032869.768	3419685.078	3167176.998	2760487.067	3465452.116	3119732.546	3134873.736	2818711.388	3271099.108	3190383.779	3077944.226	3237124.513	2653037.647	2797693.275	3171970.078	3071592.511	3038472.501
				Unknown	442.2804427				361.218			BiotreeDB									492060.2222	766149.5438	769520.9645	922639.4203	649587.0083	577148.6574	599618.2819	430589.6683	629311.9788	388530.3768	348372.4799	231682.5594	268397.1073	495033.8779	829965.7658	434571.3349	639669.4905	809360.5979	778807.2258
				Unknown	124.0396713				361.204			BiotreeDB									737854.6322	616535.5275	722078.9556	950372.7158	851696.4258	812273.0736	831001.6258	995522.1145	657148.9255	850401.2052	976195.8307	635105.4533	644214.5888	699808.3928	1077449.807	1474726.765	639988.2066	721551.8789	943872.4937
				Unknown	258.1162287				360.846			BiotreeDB									2576160.797	3197627.62	2758934.81	2429550.682	2508765.523	2297453.576	3892537.277	2437902.002	2199930.963	3457124.099	2551726.156	2054099.931	2936866.251	2372502.147	2310482.351	2153155.77	2252949.197	1919453.527	2440135.482
				Unknown	443.2835999				360.7005			BiotreeDB									326003.0365	500214.3608	721229.3796	677354.1	392768.5057	371466.0662	356948.0911	639136.5986	208175.2671	336557.3973	416953.3642	417410.533	543504.5296	581600.4107	684751.3391	564162.1121	500631.9317	332354.3077	501346.759
				Unknown	231.189974				360.672			BiotreeDB									531688.7132	613355.3608	642089.865	549563.7704	229335.9955	637259.3446	511772.7268	705520.0454	475399.8031	513035.3427	762519.1481	468724.9641	526663.3467	787636.9144	841861.6244	605013.653	610572.5247	600463.6991	736573.1973
				Unknown	75.05592035				360.6715			BiotreeDB									1079802.26	1278200.172	718944.9319	1374064.867	1102023.065	1037127.101	2054805.584	1132596.763	1080006.249	1032291.321	918063.6022	842230.1512	948728.6593	1133707.725	1229803.608	1262532.645	995076.8416	969176.2713	875531.6225
				Unknown	243.1709187				360.661			BiotreeDB									703604.078	559662.7551	642974.7122	829975.0844	616379.3568	746208.5939	975565.6922	834364.2444	482778.1115	577392.3802	723660.4563	804262.15	483303.7735	765992.0147	858208.6134	828708.746	857304.662	648156.3591	706929.3099
				Unknown	291.0976369				360.6595			BiotreeDB									5219183.109	7135859.978	6597876.526	10323181.32	7019521.559	9637970.41	9440461.442	6382422.75	9403935.024	10658175.04	10188733.33	6965635.707	9550497.057	9670999.562	12096806.52	6280605.761	9843586.078	6919175.37	9096145.867
				Unknown	109.0763914				360.6385			BiotreeDB									1313935.387	1069297.618	1242171.926	466977.8842	3108171.185	2301466.536	384804.18	3851777.74	1299824.182	1289788.353	1283210.222	680764.5346	2750895.133	1448627.677	828492.112	1087481.287	1386591.908	1783184.737	1450976.685
				Unknown	230.1867482				360.6385			BiotreeDB									4726440.954	4956993.193	9065926.452	5692489.25	4274497.714	6828048.246	7582520.167	5091672.137	4590764.844	8369071.872	4860532.656	4344599.659	5042010.03	5829178.441	4309089.312	4287489.481	3365234.072	3474941.675	4495944.976
				Unknown	155.0817083				360.611			BiotreeDB									3298064.305	3228427.596	3498899.44	3596079.029	2957764.583	3021590.262	4033552.266	3431692.043	3208020.464	3063527.553	3800532.027	3422173.722	3369601.327	3665159.898	3676495.211	3319217.358	2949015.423	3347474.402	3241707.36
				Unknown	156.0849678				360.61			BiotreeDB									3931553.022	8026908.147	4671165.96	4347809.932	4273515.327	2674255.19	6707604.51	4446553.859	3380392.086	4014464.806	4790359.568	4235519.221	3671683.534	7294344.789	5224735.14	3953782.04	4467960.717	2753638.378	4444694.698
				Unknown	117.1026259				360.604			BiotreeDB									1178356.136	1252978.925	1306653.828	1878765.468	1107270.369	738328.6006	1080005.411	1246683.353	1410466.504	1571029.849	1531636.93	1538308.142	931006.0316	1285846.053	672337.2916	1219624.896	2269108.314	2685570.58	1375820.281
				Unknown	137.0711208				360.5965			BiotreeDB									18805681.98	19686899.4	28935929.05	18157717.76	18805773.98	19205159.35	26697535.81	17953214.61	18703699.53	19306921.53	19262591.1	18511457.27	19911905.13	28964559.26	18458349.48	18746753.21	17903921.05	18777183.62	17910720.63
				Unknown	216.1710444				360.596			BiotreeDB									11717266.18	8685263.865	8694611.93	8201372.338	7862112.105	8340347.368	12304090.59	9282387.367	8115878.305	7857000.85	11819324.29	7346194.418	8107993.071	7570693.015	9288763.627	8850778.46	7377266.244	8522096.281	7223422.701
				Unknown	110.0842305				360.577			BiotreeDB									3454955.062	4505830.833	3934163.989	2113487.406	3127858.348	3013229.506	4020543.567	3682176.667	3427039.474	3163521.409	3559120.3	2607706.83	3025664.725	3712523.241	3206765.271	3216953.939	2883807.815	2938983.354	3507753.102
				Unknown	218.1756439				360.559			BiotreeDB									395346.8217	532116.6625	718092.4895	536465.4335	540673.0138	541648.5273	592687.8768	605260.9832	543735.3536	570264.9896	553488.8546	402585.3355	202579.3497	520646.1648	845968.5319	766973.969	474549.4586	396565.4365	626821.5413
				Unknown	134.0813956				360.545			BiotreeDB									40005055.61	42044690.3	41835983.51	43211877.95	39798179.48	39207271.26	59063040.79	44388727.78	37576459.7	41354394.41	40089614.21	39216911.35	37933109.48	40960123.95	45909883.21	43321569.24	39490925.99	38853679.76	40512760.74
				Unknown	193.0378632				360.4805			BiotreeDB									15306023.71	17349438.28	24410848.51	15922341.79	14787779.66	14818713.97	23373610.27	23966659.38	14416563.4	14704198.49	15268838.69	14758863.88	14062178.85	24213935.57	17497074.57	15807075.89	14268350.52	16156416.95	15500109.85
				Unknown	151.1352463				360.328			BiotreeDB									1581591.356	1699736.827	1783628.193	1845959.754	2950287.261	1500837.603	3858565.066	2087751.699	1729827.901	1579319.905	2631027.225	1384719.029	1396677.971	1993223.478	1789838.568	1796763.204	3361959.577	1649972.7	2591651.158
				Unknown	198.0875001				360.1275			BiotreeDB									2889598.141	2313543.791	3241923.515	3584586.495	2730167.033	2410935.699	5577387.15	4077978.222	2238634.085	2855785.482	3509235.528	2586714.327	3050798.17	3070008.834	3795588.404	3335336.248	2390119.359	2590048.279	2763894.736
				Unknown	119.0899828				359.763			BiotreeDB									19923809.65	22401487.84	21324499.06	22737993.06	19967664.39	20923514.52	32234829.42	22554089.76	20376307.85	20830572.09	20946892.23	20408811.2	20023394.71	22150695	23934657.68	22114949.02	21674401.87	21151399.45	21108406.69
				Unknown	209.1286232				359.725			BiotreeDB									3074706.589	660743.4405	4770868.88	3265944.498	5005642.87	2590490.133	4561110.198	3194285.937	2489018.203	2251490.103	4593842.011	3723737.432	2908435.884	4626457.943	3607178.511	3316469.954	3318925.85	2904634.106	2911514.276
				Unknown	190.1442429				359.637			BiotreeDB									504355911.3	531222539	811361595.7	538630632.1	542780989.7	535838142.8	747962109.6	540356004.9	521102926.2	579233267.4	510601064.5	526253822.7	524892210.4	834579988.7	653866818.3	588646833.1	558418821.8	539315227.5	503454735.8
				Unknown	191.1475481				358.855			BiotreeDB									21293886.89	23116014.65	35046251.38	22055595.81	20097804.93	31656747.92	32146048.96	33909518.87	18974190.72	34211050.37	22406627.76	19904970.68	32373057.63	33753073.03	23555551.76	36282548.08	19694505.13	32540581.1	21723256.12
				Unknown	271.1656383				358.837			BiotreeDB									5772896.706	5329043.844	5818461.818	9569107.391	5691784.267	4842282.948	7615077.388	9511851.61	5411829.6	5246703.767	5660553.668	5041693.03	7897370.091	5200194.269	10213655.83	6128023.976	5286127.503	5645043.724	8580126.198
				Unknown	172.1335346				358.792			BiotreeDB									3207806.479	4632857.6	3229987.702	2342864.584	2373203.665	4991157.691	4998748.689	3741183.898	4404991.229	3261938.752	4222270.261	4538961.503	2210300.839	2988450.283	3394415.843	3984186.978	3780733.486	3320746.598	2980366.333
				Unknown	200.1286245				358.788			BiotreeDB									754129.784	804643.5119	589503.3343	786388.4608	729648.0917	1200420.365	2133564.056	821401.0428	727456.8772	964908.3285	643774.0896	751488.6745	759743.3856	696953.4023	1040585.083	1090201.41	998198.8267	708413.7385	878188.8118
				Unknown	377.201785				358.776			BiotreeDB									1473793.377	1718853.903	3508010.358	1755525.758	2049979.664	1769907.147	4559790.56	1335072.186	2027721.159	1354495.354	1560161.715	1746655.822	1851555.951	1373000.434	1966516.45	2078655.721	1952794.364	1031820.404	1592151.813
				Unknown	460.2915448				358.7735			BiotreeDB									2205867.909	2489484.894	2196207.997	2687008.267	1513577.17	1344871.799	4174368.354	1901658.996	1818052.002	2393454.851	2482892.736	2212638.717	1859355.136	2161820.057	2603303.47	4186533.76	1946704.868	1905113.608	1903308.505
				Unknown	288.180965				357.9315			BiotreeDB									1163270.14	1225857.226	366894.5294	2377413.593	1474345.624	1371275.66	1712471.535	1812103.381	400877.324	701662.5479	1141504.501	777030.5436	1295230.851	744585.2884	1660830.604	597508.7364	564309.4982	1446762.859	910702.9126
				Unknown	311.1966911				357.931			BiotreeDB									16160131.71	16058964.77	25044140.37	26323320.73	14375053.29	23437566.98	23347126.43	24635554.01	24384301.43	24750947.05	15953510.9	13855396.93	13813106	24914323.92	17556968.71	26811350.64	16237389.18	24211034.58	24776872.47
				Unknown	164.128651				357.8935			BiotreeDB									936700.81	1468014.328	1359114.927	2350138.127	1530288.089	2306357.217	1653732.24	1063109.643	1651785.993	2552484.957	2136234.828	914037.3319	1476091.286	2076076.896	1391993.724	2840629.813	1878135.222	1190527.948	2358310.336
				Unknown	248.1143544				357.865			BiotreeDB									1499661.561	2634795.835	3346406	2338543.372	1854275.164	2762080.154	4402885.428	2867064.388	2472053.83	2036546.128	3518648.806	2712427.221	2838961.367	2057778.554	2022256.958	3054199.826	1863892.788	2523016.959	2402165.292
				Unknown	138.0917193				357.8095			BiotreeDB									2107239.048	2170884.665	3221448.234	1621608.967	1146159.172	1661470.487	4580660.219	1903732.257	2017548.376	1852352.938	2316452.325	1616332.389	1757004.084	2095430.02	4003852.641	4030826.039	1947085.353	3426494.773	4078277.861
				Unknown	264.1806937				357.801			BiotreeDB									2893330.352	2134304.316	2047638.862	1063949.865	1912959.028	2528910.842	2865418.081	2316871.885	1588154.808	2017032.97	2328238.438	1240546.356	1032502.986	1991163.019	1366868.494	1782664.39	1251177.665	2217332.454	1902643.088
				Unknown	175.1526561				357.702			BiotreeDB									5638073.819	5345576.344	9095349.142	5140148.756	4288333.546	8407496.296	9195328.524	10533372.85	8951811.262	9280152.894	4676830.975	8153660.507	6483428.847	7787180.544	5603890.438	6124977.394	7633092.295	4644908.695	5506274.347
				Unknown	463.1336035				357.595			BiotreeDB									18249446.7	11309687.69	18114681.36	18393832.89	18527041.39	18078744.01	16328898.4	18473220.19	9827235.221	16989113.17	17558459.96	10310369.28	16486396.54	17917807.36	11159696.79	13932909.43	18628373.66	17197312.86	18962632.41
				Unknown	327.0861479				357.311			BiotreeDB									3271220.168	3891411.645	4852933.656	4118270.741	2367893.922	3705653.479	3037145.173	3694556.023	3927987.343	3876138.11	2890969.312	3218333.255	3407362.746	3507194.426	3585367.475	2763302.112	3782305.428	2360356.608	1224683.638
				Unknown	285.1811988				357.0175			BiotreeDB									4974835.134	5932165.425	5267906.533	2651073.388	1748045.156	2669175.473	4997543.535	4517489.242	2346792.04	3858416.891	2702781.292	4111792.125	2779238.342	4925657.888	4308857.756	5400907.561	2611465.06	3181250.497	3100664.152
				Unknown	217.1186076				357.009			BiotreeDB									12640115.01	12212169.07	12307166.59	14182138.86	10603086.89	11213083.31	18017175.01	20348213.21	12084036.56	10389238.93	11703082.04	12655056.11	11679100.09	13016470.47	24323441.56	10862749.6	10722959.38	11544255.81	12438942.33
				Unknown	304.175861				357.0075			BiotreeDB									11088725.08	5381795.682	4996748.197	5257859.629	10299645.47	7201131.99	9442379.79	13981492.96	10963283.97	4609256.063	8351015.445	8574918.519	6010317.068	5096824.837	11128536.26	6920378.998	7175859.603	6557448.275	3197595.885
				Unknown	375.0983468				357.004			BiotreeDB									1681629.407	1507141.923	2237505.036	1765582.205	2145735.227	826817.7532	2130641.767	1649600.829	2023701.013	1233043.772	2544026.691	1164260.543	1257081.923	1112976.709	3292678.62	1514388.817	1317432.533	2337754.091	1329351.48
				Unknown	232.1911032				356.987			BiotreeDB									24127726.57	24351668.31	24048575.44	14955235.08	24473779.79	22144324.99	22036636.56	22320411.64	22539690.62	22485019.69	23812529.15	24267879.93	21868586.66	23032009.12	28541284.81	26771939.19	23798362.76	22279983.49	23286678.9
