database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				L-Carnitine	162.112883				320.41			BiotreeDB									162894189.2	168472663.8	164740777.5	176531511.9	176777457.1	203498004	93720013.67	145668492.2	95696365.14	126452857.6	102510906.6	31188699.67	115290114.4	127684308.2	220933956.7	146888591.8	140321249.6	137399718.1	133161147
				Indole-3-carboxylic acid	162.0551842				84.8608			BiotreeDB									1310489.479	1539554.598	974734.9247	1470365.767	1270111.514	990354.9497	353564.8724	3891983.31	2865171.285	3174874.905	6082896.049	6611446.348	1720728.034	13011166.81	3548668.085	3137484.681	3078086.846	3514180.941	2865345.815
				Nicotinic acid	124.0395524				231.982			BiotreeDB									5880754.567	5410680.132	4118062.028	9951445.643	4291043.276	6281451.601	5957879.93	14111674.4	11608163.36	14164688.21	18323095.83	3354670.312	13455981.63	10096821.54	17980852.87	7797022.026	8147198.228	7460407.33	8465497.196
				1-Methylhypoxanthine	151.061585				125.837			BiotreeDB									12456047.1	19413462.37	19962136.34	23283964.58	16369969.6	12741323.99	1716411.55	8936468.34	6068008.192	9782008.227	12754663.67	821415.7551	16764949.76	6387375.923	8515736.022	9311817.112	9558773.007	9965967.488	10242639.71
				Deoxyadenosine	252.1093739				141.904			BiotreeDB									4469514.364	4011739.988	5821611.256	3372674.867	4006424.136	1829379.062	2777708.31	1781175.084	2392892.499	1546351.188	2370876.115	1968235.703	1364651.313	3313105.264	3072843.226	3591153.03	2814106.374	3205669.424	2923699.253
				Cytosine	112.0510598				207.628			BiotreeDB									4874295.445	5628934.588	4574714.539	9229685.137	8888509.056	5922408.173	2056307.019	3032882.848	4511869.974	3324785.687	4426454.448	1206253.47	4476622.41	3669210.402	6793384.167	6848183.585	6426324.818	6454372.005	6223883.557
				Proline betaine	144.101978				287.083			BiotreeDB									5499844.503	11865566.84	37068408.05	25207419.36	32167969.9	7182737.671	13006249.47	18665170.3	11340804.37	25812563.27	29401986.07	1043545.785	28224923.76	74714496.19	26300162.76	25606817.86	25455306.56	25331543	25391164.49
				Tryptamine	161.1074425				214.763			BiotreeDB									19220651.96	9935081.051	7620186.505	10295501.14	9587196.592	7643163.387	4232598.471	12024414.77	1423583.965	4534387.41	5865376.816	4343149.082	3549351.571	7922366.612	8935500.22	9430098.3	8306982.245	8727166.14	8316140.453
				Betaine	118.0865389				288.363			BiotreeDB									17259061.02	5513308.379	11200297.54	39216384.94	18428461.6	5031186.618	5097155.412	213242645.8	103158525.7	72754350.52	247694770.4	195834440.7	59754243.58	101757004.8	92973622.79	79769251.63	69533873.46	65817203.5	70042333.65
				Gibberellin A97	365.1938959				97.4424			BiotreeDB									4729856.42	4709171.866	7097176.404	2353117.252	241645.0004	6411052.464	9535049.354	209681.6661	7013110.563	2666406.352	7754850.788	779444.6357	4181574.016	15830204.84	7625569.969	9119710.293	8719869.765	8861159.032	8597911.53
				Choline	104.1073232				290.816			BiotreeDB									71954984.77	21855839.23	30058526.72	53692691.84	32762237.49	22240838.88	35499815.37	88181372.32	80698891.64	44179309.05	158700848	320175153.8	51628793.21	433615758.2	142962655.9	121040734.9	108343087	102410577.4	112593875.8
				"Quinoline-4,8-diol"	162.0552077				115.1515			BiotreeDB									5846446.81	7220520.9	6202940.94	6157606.008	7715250.064	13794816.34	2296429.388	3360778.754	2319627.156	2967993.3	3107924.295	535203.0907	3884166.292	4039291.415	7714633.95	9065723.712	5525049.777	5041378.826	4793434.535
				Pyroglutamic acid	130.0502989				411.992			BiotreeDB									806408345.5	575671499.6	635321076.6	289081536.5	714969629.8	367450785.4	410281289	373783957.1	534183586.6	477783471.2	727955499.4	701617755.2	452673182.9	724691226.2	1118827489	741596314.9	718523033.9	713811295.5	748190351.1
				Metenamine	141.1138432				310.41			BiotreeDB									7581168.661	9302699.063	10401471.47	10179167.32	10132314.53	9448478.201	2469899.19	7418953.876	6289664.771	3649611.575	8001401.487	1247454.779	11156024.04	7658307.798	7112043.728	7675500.03	6682329.878	7842747.233	7159820.726
				Tocopheronic acid	295.1515063				322.407			BiotreeDB									5747338.455	2760492.816	3732234.622	5531189.595	6505570.282	1735216.807	1564894.898	1196383.271	2050444.212	1030775.597	2046808.46	1117528.888	1347332.635	3156922.953	3675532.648	3490122.442	3795531.605	3467977.546	3362049.721
				1-(5-Methyl-2-thienyl)-1-propanone	155.0541895				201.365			BiotreeDB									29215933.75	36027033.46	33988531.38	32187936.01	30034494.92	33589047.62	36517731.1	34175766.53	37105738.84	34116616.33	10756057.82	46574654.31	12922660.54	34216680.64	21520802.78	23670592.4	31067653.34	35632380.08	31381346.04
